Développeur web,8 novembre 2023,"loc:             Ezzahra,                            Ben","['D', 'é', 't', 'a', 'i', 'l', 's', 'd', 'e', 'l', 'a', 'n', 'n', 'o', 'n', 'c', 'e', 'R', 'é', 'f', 'é', 'r', 'e', 'n', 'c', 'e', '1', '9', '0', '3', '7', '3', 'P', 'u', 'b', 'l', 'i', 'é', 'e', 'l', 'e', '8', 'n', 'o', 'v', 'e', 'm', 'b', 'r', 'e', '2', '0', '2', '3', 'L', 'i', 'e', 'u', 'd', 'e', 't', 'r', 'a', 'v', 'a', 'i', 'l', 'E', 'z', 'z', 'a', 'h', 'r', 'a', 'B', 'e', 'n', 'A', 'r', 'o', 'u', 's', 'T', 'u', 'n', 'i', 's', 'i', 'e', 'E', 'x', 'p', 'é', 'r', 'i', 'e', 'n', 'c', 'e', 'A', 'u', 'c', 'u', 'n', 'e', 'e', 'x', 'p', 'é', 'r', 'i', 'e', 'n', 'c', 'e', 'É', 't', 'u', 'd', 'e', 'B', 'a', 'c', '2', 'D', 'i', 's', 'p', 'o', 'n', 'i', 'b', 'i', 'l', 'i', 't', 'é', 'P', 'l', 'e', 'i', 'n', 't', 'e', 'm', 'p', 's', 'M', 'o', 'b', 'i', 'l', 'i', 't', 'é', 'L', 'o', 'c', 'a', 'l', 'e']",[],," Description de l'annonce:  Nous sommes à la recherche d'un développeur junior enthousiaste et talentueux pour rejoindre notre équipe. Le candidat retenu travaillera sous la supervision de développeurs seniors pour contribuer au développement de logiciels, d'applications web ou mobiles. Responsabilités principales : Participer à la conception, au développement, à la mise en œuvre et à la maintenance de projets logiciels. Écrire un code propre et efficace conformément aux bonnes pratiques de développement. Collaborer avec l'équipe pour résoudre les problèmes techniques et contribuer aux solutions innovantes. Apprendre et se former régulièrement pour rester à jour avec les nouvelles technologies et les meilleures pratiques de développement. Documenter le code, les processus et les procédures pour faciliter la compréhension et la maintenance du logiciel. Exigences : Diplôme en informatique, en génie logiciel ou dans un domaine connexe. Connaissances de base en programmation, idéalement avec des compétences dans un ou plusieurs langages de programmation, tels que Python, Java, C++, JavaScript, etc. Passion pour la technologie et le développement logiciel. Capacité à travailler en équipe, à apprendre rapidement et à résoudre des problèmes. Excellentes compétences en communication écrite et orale. Expérience de travail ou de projets personnels pertinents est un plus. Comment postuler : Si vous êtes enthousiaste à l'idée de rejoindre notre équipe dynamique en tant que développeur junior, veuillez envoyer votre CV et une lettre de motivation à [adresse e-mail de l'entreprise]. Assurez-vous d'inclure des échantillons de code ou de projets précédents, le cas échéant. Nous attendons avec impatience de découvrir votre passion pour le développement et vos compétences en programmation. Date limite de candidature : 31/11/2023 Lieu : Ezzahra                            "
WEB DESIGNER,8 novembre 2023,loc:                     La Manouba,"['D', 'é', 't', 'a', 'i', 'l', 's', 'd', 'e', 'l', 'a', 'n', 'n', 'o', 'n', 'c', 'e', 'R', 'é', 'f', 'é', 'r', 'e', 'n', 'c', 'e', '1', '9', '0', '3', '6', '8', 'P', 'u', 'b', 'l', 'i', 'é', 'e', 'l', 'e', '8', 'n', 'o', 'v', 'e', 'm', 'b', 'r', 'e', '2', '0', '2', '3', 'T', 'y', 'p', 'e', 'd', 'e', 'p', 'o', 's', 't', 'e', 'C', 'D', 'I', 'L', 'i', 'e', 'u', 'd', 'e', 't', 'r', 'a', 'v', 'a', 'i', 'l', 'L', 'a', 'M', 'a', 'n', 'o', 'u', 'b', 'a', 'T', 'u', 'n', 'i', 's', 'i', 'e', 'E', 'x', 'p', 'é', 'r', 'i', 'e', 'n', 'c', 'e', 'E', 'n', 't', 'r', 'e', '2', 'e', 't', '5', 'a', 'n', 's', 'É', 't', 'u', 'd', 'e', 'B', 'a', 'c', '3', 'R', 'é', 'm', 'u', 'n', 'é', 'r', 'a', 't', 'i', 'o', 'n', 'p', 'r', 'o', 'p', 'o', 's', 'é', 'e', '1', '0', '0', '0', 'D', 'T', 'M', 'o', 'i', 's', 'D', 'i', 's', 'p', 'o', 'n', 'i', 'b', 'i', 'l', 'i', 't', 'é', 'P', 'l', 'e', 'i', 'n', 't', 'e', 'm', 'p', 's', 'L', 'a', 'n', 'g', 'u', 'e', 's', 'A', 'r', 'a', 'b', 'e', 'F', 'r', 'a', 'n', 'ç', 'a', 'i', 's', 'A', 'n', 'g', 'l', 'a', 'i', 's']","['-Arabe,Français,Anglais-']",," Description de l'annonce:  Société nouvellement installée à la zone industrielle Ksar Said dont le domaine d’activité est l’industrie du packaging en papier, cherche pour un besoin de recrutement immédiat: Web designer  Profil demandé: Les candidats à retenir pour passer les entretiens doivent être titulaires d’un diplôme de technicien supérieur ou d’une licence en infographie et multimédia ou d’un diplôme équivalent. Mission principale:  Création d’une charte graphique  Conception de l’identité visuel de la marque  Conception et réalisation d’un un sites web  Conception de différents supports de web communication et réseaux sociaux    Concevoir quotidiennement des supports graphiques  Gérer la bibliothèque « image » et « conception graphique »  Coordination continue avec les partenaires   Veille technologique  Effectuer quotidiennement des rapports liés à son activité   Apporter, à la demande de la direction, son appui technique sur la réalisation graphique de divers documents. Exigences du poste :  Esprit créatif et artistique   Bonne maîtrise des logiciels de traitement et de création de l'image, d'animation, de programmation et de développement web (Photoshop, Illustrator, Flash, Dreamweaver, etc.)   Bonne maîtrise des outils d'intégration (XML, Javascript, PHP...)   Exploitation des différents applicatifs de PAO PS: Curieux, non disponibles, qualifications autres que celles exigés par le poste; nous vous demandons cordialement de s’abstenir.                            "
Designer graphique,8 novembre 2023,"loc:                     Tunis,                            Tunisie","['D', 'é', 't', 'a', 'i', 'l', 's', 'd', 'e', 'l', 'a', 'n', 'n', 'o', 'n', 'c', 'e', 'R', 'é', 'f', 'é', 'r', 'e', 'n', 'c', 'e', '1', '8', '9', '8', '5', '4', 'P', 'u', 'b', 'l', 'i', 'é', 'e', 'l', 'e', '8', 'n', 'o', 'v', 'e', 'm', 'b', 'r', 'e', '2', '0', '2', '3', 'L', 'i', 'e', 'u', 'd', 'e', 't', 'r', 'a', 'v', 'a', 'i', 'l', 'T', 'u', 'n', 'i', 's', 'T', 'u', 'n', 'i', 's', 'i', 'e', 'E', 'x', 'p', 'é', 'r', 'i', 'e', 'n', 'c', 'e', 'E', 'n', 't', 'r', 'e', '2', 'e', 't', '5', 'a', 'n', 's', 'É', 't', 'u', 'd', 'e', 'B', 'a', 'c', '3', 'D', 'i', 's', 'p', 'o', 'n', 'i', 'b', 'i', 'l', 'i', 't', 'é', 'P', 'l', 'e', 'i', 'n', 't', 'e', 'm', 'p', 's', 'L', 'a', 'n', 'g', 'u', 'e', 's', 'F', 'r', 'a', 'n', 'ç', 'a', 'i', 's', 'A', 'n', 'g', 'l', 'a', 'i', 's']","['-Français,Anglais-']",P A R T N E R   R E C R U I T M E N T," Description de l'annonce: Nous recrutons pour le compte de Keejob,Designer graphique MISSIONS: - Concevoir et créer des éléments graphiques pour répondre  aux besoins.  - Collaborer avec l'équipe marketing et les responsables de  projet pour comprendre les exigences créatives.  - Créer du contenu, améliorer la communication et animer la  communauté sur les réseaux sociaux (Facebook, Instagram, LinkedIn...).  - Contribuer au développement de la stratégie de  communication digitale.  PROFIL RECHERCHE: - Un bon niveau en Adobe Illustrator  - Adobe photoshop - Adobe Indesign  - Connaissance et maîtrise des différents réseaux sociaux  - Profil créatif, dynamique, réactif et emphatique  - Capable de communiquer efficacement et de rédiger en  Français. L’anglais sera un atout.                           "
Responsable Infra Systèmes et Réseaux,8 novembre 2023,"loc:                     Tunis,                            Tunisie","['D', 'é', 't', 'a', 'i', 'l', 's', 'd', 'e', 'l', 'a', 'n', 'n', 'o', 'n', 'c', 'e', 'R', 'é', 'f', 'é', 'r', 'e', 'n', 'c', 'e', '1', '8', '9', '7', '5', '2', 'P', 'u', 'b', 'l', 'i', 'é', 'e', 'l', 'e', '8', 'n', 'o', 'v', 'e', 'm', 'b', 'r', 'e', '2', '0', '2', '3', 'T', 'y', 'p', 'e', 'd', 'e', 'p', 'o', 's', 't', 'e', 'C', 'D', 'I', 'L', 'i', 'e', 'u', 'd', 'e', 't', 'r', 'a', 'v', 'a', 'i', 'l', 'T', 'u', 'n', 'i', 's', 'T', 'u', 'n', 'i', 's', 'i', 'e', 'E', 'x', 'p', 'é', 'r', 'i', 'e', 'n', 'c', 'e', 'E', 'n', 't', 'r', 'e', '2', 'e', 't', '5', 'a', 'n', 's', 'É', 't', 'u', 'd', 'e', 'B', 'a', 'c', '5', 'R', 'é', 'm', 'u', 'n', 'é', 'r', 'a', 't', 'i', 'o', 'n', 'p', 'r', 'o', 'p', 'o', 's', 'é', 'e', '1', 'D', 'T', 'M', 'o', 'i', 's', 'D', 'i', 's', 'p', 'o', 'n', 'i', 'b', 'i', 'l', 'i', 't', 'é', 'P', 'l', 'e', 'i', 'n', 't', 'e', 'm', 'p', 's', 'L', 'a', 'n', 'g', 'u', 'e', 's', 'F', 'r', 'a', 'n', 'ç', 'a', 'i', 's']",[],S P B   I S C," Description de l'annonce: Vous  souhaitez intégrer une entreprise dynamique et innovante en forte croissance ? Rejoignez-nous  ! Leader  européen des assurances et services affinitaires pour de grandes marques, SPB,  courtier gestionnaire compte près de 1800 collaborateurs répartis dans 17 pays.  Entreprise familiale indépendante fondée en 1965, SPB opère en marque blanche  (B2BtoC). Notre métier: accompagner la conception, le développement et  gérer des programmes d’assurances, d’extensions de garantie et de services  associés à des produits de téléphonie mobile, nomades, bancaires ou encore liés  à l’énergie, la santé, le voyage, les loisirs, la prévoyance ainsi qu’aux biens  de la maison. Dans ce cadre, nous recherchons un Responsable Infrastructure  Systèmes et Réseaux : Principales  missions :     Garantir  le maintien en condition opérationnelle de l'infrastructure du système  d’information et de ses systèmes : outils bureautique O365, Exchange, Active  Directory, Windows Server    Conduire et  réaliser les projets liés aux infrastructures informatique : avec l'aide de son  équipe, il/elle doit recueillir le besoin, s’assurer de l’équilibre du  triptyque qualité-coût-délais, effectuer les recherches et la veille  technologique, trouver les prestataires et intégrateurs,    Étant donné  ses compétences et expériences, il/elle a une activité d'expertise IT générale  qui permet d'être force de proposition pour faire évoluer et moderniser son  service ainsi que l'infrastructure système et réseau de la société.    Assurer, avec  son équipe, un support de niveau 2 (et plus) sur les infrastructures IT de la  société    Le poste  intègre aussi une activité de partage de connaissances et d'expériences avec  les autres entités du Groupe ainsi que la conduite et la réalisation de projet  d'infrastructure système et réseau à l'initiative du Groupe Profil :  Qualification : Diplôme       en Informatique spécialisation systèmes et réseaux Expérience: 3 ans minimum dans un poste       similaire, avec expérience idéalement acquise en milieu international Excellente maîtrise de la langue française. L’anglais serait       souhaitable Qualités Personnelles:       Leadership, Négociation & Conciliation, Communication, Coaching,       Expertise et proposition, Curiosité Connaissances particulières: Réseau       routage, switching et sécurité Cisco                            "
Développeur Medior .Net/C#,8 novembre 2023,"loc:                     Tunis,                            Tunisie","['D', 'é', 't', 'a', 'i', 'l', 's', 'd', 'e', 'l', 'a', 'n', 'n', 'o', 'n', 'c', 'e', 'R', 'é', 'f', 'é', 'r', 'e', 'n', 'c', 'e', '1', '8', '8', '5', '0', '2', 'P', 'u', 'b', 'l', 'i', 'é', 'e', 'l', 'e', '8', 'n', 'o', 'v', 'e', 'm', 'b', 'r', 'e', '2', '0', '2', '3', 'L', 'i', 'e', 'u', 'd', 'e', 't', 'r', 'a', 'v', 'a', 'i', 'l', 'T', 'u', 'n', 'i', 's', 'T', 'u', 'n', 'i', 's', 'i', 'e', 'E', 'x', 'p', 'é', 'r', 'i', 'e', 'n', 'c', 'e', 'E', 'n', 't', 'r', 'e', '2', 'e', 't', '5', 'a', 'n', 's', 'É', 't', 'u', 'd', 'e', 'B', 'a', 'c', '5', 'D', 'i', 's', 'p', 'o', 'n', 'i', 'b', 'i', 'l', 'i', 't', 'é', 'P', 'l', 'e', 'i', 'n', 't', 'e', 'm', 'p', 's', 'L', 'a', 'n', 'g', 'u', 'e', 's', 'A', 'n', 'g', 'l', 'a', 'i', 's']",[],B I N I T N S," Description de l'annonce: Binit Nearshore Services (BinitNS) is a Consulting and Services company operating in the ITO and BPO areas. We advise our European Customers for their IT projects: From Business Process Digitalization to Infrastructure evolutions and Cloud migrations.We also help our clients set up their nearshore teams in Tunisia, as an extension to their European teams whether they create a local company when a critical size is possible or incubate those teams within BinitNS.One of our clients, a European Financial Services Company, is willing to build a new financial business in Germany. The IT infrastructure and software will be built from scratch with an IT team that will sit between Europe and Tunis.In this context, we are hiring a mid-level developer who will be part of a team of 10 developers, focusing on Core business processes software.If you are an engineer or have a master's degree in IT, have a minimum of 2 years of experience in development in C#/.Net/SQL Server, and are willing to work in an international English-speaking environment, we will be glad to see you joining us to build this ambitious project within a common German-Tunisian team.Amazing working environment and very good package is proposed.                         "
Android Developer,8 novembre 2023,"loc:                     Tunis,                            Tunisie","['D', 'é', 't', 'a', 'i', 'l', 's', 'd', 'e', 'l', 'a', 'n', 'n', 'o', 'n', 'c', 'e', 'R', 'é', 'f', 'é', 'r', 'e', 'n', 'c', 'e', '1', '8', '9', '1', '2', '5', 'P', 'u', 'b', 'l', 'i', 'é', 'e', 'l', 'e', '8', 'n', 'o', 'v', 'e', 'm', 'b', 'r', 'e', '2', '0', '2', '3', 'T', 'y', 'p', 'e', 'd', 'e', 'p', 'o', 's', 't', 'e', 'C', 'D', 'I', 'L', 'i', 'e', 'u', 'd', 'e', 't', 'r', 'a', 'v', 'a', 'i', 'l', 'T', 'u', 'n', 'i', 's', 'T', 'u', 'n', 'i', 's', 'i', 'e', 'E', 'x', 'p', 'é', 'r', 'i', 'e', 'n', 'c', 'e', 'E', 'n', 't', 'r', 'e', '2', 'e', 't', '5', 'a', 'n', 's', 'É', 't', 'u', 'd', 'e', 'B', 'a', 'c', '5', 'R', 'é', 'm', 'u', 'n', 'é', 'r', 'a', 't', 'i', 'o', 'n', 'p', 'r', 'o', 'p', 'o', 's', 'é', 'e', '1', '2', 'D', 'T', 'M', 'o', 'i', 's', 'D', 'i', 's', 'p', 'o', 'n', 'i', 'b', 'i', 'l', 'i', 't', 'é', 'P', 'l', 'e', 'i', 'n', 't', 'e', 'm', 'p', 's', 'L', 'a', 'n', 'g', 'u', 'e', 's', 'A', 'r', 'a', 'b', 'e', 'F', 'r', 'a', 'n', 'ç', 'a', 'i', 's', 'A', 'n', 'g', 'l', 'a', 'i', 's']","['-Arabe,Français,Anglais-']",S T R E A M W I D E," Description de l'annonce: What you will enjoy •Opportunity: to work with the  best and brightest in the non-profit field, in an environment that promotes  continuous learning, creativity and collaboration. •Culture: an organization that is  guided by our fundamental principles of humanity, impartiality, neutrality,  independence, voluntary service, unity and universality. •Meaningful Work: you will be  creating technological innovations that support emergencies and save lives Role •Collaborate with cross  functional Agile teams to design, develop and ship new features in the Android  App. •Provide guidance and support for  a wide range of solutions and services looking to adopt and build against  standards.  •Bring some technical leadership  to a team of Mobile developers. •Interact with architects, UX,  and Ops and participates in architecture, design, and review meetings. •Write clean, well-tested code to  build new features, fix bugs and improve the performance of the application. • Take pride in discovering, evaluating and implementing new technologies  that maximize development efficiency and product performance. •Write the technical  documentation of the product in English.  Requirements:  •2+ years of experience in  developing native Android apps with Kotlin and Java. •Strong skills in OO design and  Java programming. •Deep experience in designing,  developing, testing, and delivering quality  mobile applications. •Good unit testing and debugging  skills. •Good knowledge of real-time and  interactive mobile applications. •Good understanding of Mobile  Design patterns Desired skills: •Knowledge and experience in SIP / RTP / VOIP protocols. •Strong experience in multi-threading and memory management of Android  devices. •Experience in Android Native Development Kit (NDK). •Good knowledge of versioning systems like GIT / SVN / Mercurial and  continuous integration practices. • Familiarity with Jira and Jenkins. • Experience with cross-functional collaboration following an Agile  Methodology.                         "
Développeur Medior Microsoft Dynamics 365 CRM,8 novembre 2023,"loc:                     Tunis,                            Tunisie","['D', 'é', 't', 'a', 'i', 'l', 's', 'd', 'e', 'l', 'a', 'n', 'n', 'o', 'n', 'c', 'e', 'R', 'é', 'f', 'é', 'r', 'e', 'n', 'c', 'e', '1', '8', '9', '8', '0', '5', 'P', 'u', 'b', 'l', 'i', 'é', 'e', 'l', 'e', '8', 'n', 'o', 'v', 'e', 'm', 'b', 'r', 'e', '2', '0', '2', '3', 'T', 'y', 'p', 'e', 'd', 'e', 'p', 'o', 's', 't', 'e', 'C', 'D', 'I', 'L', 'i', 'e', 'u', 'd', 'e', 't', 'r', 'a', 'v', 'a', 'i', 'l', 'T', 'u', 'n', 'i', 's', 'T', 'u', 'n', 'i', 's', 'i', 'e', 'E', 'x', 'p', 'é', 'r', 'i', 'e', 'n', 'c', 'e', 'E', 'n', 't', 'r', 'e', '2', 'e', 't', '5', 'a', 'n', 's', 'É', 't', 'u', 'd', 'e', 'B', 'a', 'c', '5', 'D', 'i', 's', 'p', 'o', 'n', 'i', 'b', 'i', 'l', 'i', 't', 'é', 'P', 'l', 'e', 'i', 'n', 't', 'e', 'm', 'p', 's', 'L', 'a', 'n', 'g', 'u', 'e', 's', 'F', 'r', 'a', 'n', 'ç', 'a', 'i', 's']",[],B I N I T N S," Description de l'annonce: Ref:  MD-CFP  Binit  Nearshore Services (BinitNS) est une société de Conseil et de Services opérant  dans le domaine de l’ITO et du BPO. Nous conseillons et nous accompagnons nos  clients Européens dans le cadre de l’installation en Tunisie de leurs équipes  nearshore en extension de leurs équipes européennes.  Un  de nos clients européens, pionnier et leader français des courtiers en prêts  immobiliers, a une équipe de développement opérant chez nous, en prolongement  de ses équipes en Europe.  Dans  ce cadre, nous recherchons un Développeur Medior Microsoft Dynamics 365 CRM.  Les  Analystes Business et l’Architecte, ainsi que des équipes de dev basées en  Europe, seront les interlocuteurs au quotidien de l’équipe.  L’environnement  technologique est très intéressant. Il s’agit d’un environnement Microsoft,  avec MSDynamics 365 en cœur de système CRM/Workflow métiers, C#/.Net,  JavaScript, SQL Server, dans une architecture Cloud allant de plus en plus vers  le PaaS.  Si  un tel challenge vous intéresse et que vous avez une expérience minimale de 2  ans dans ces technologies et que vous êtes motivé pour travailler à Tunis dans  un environnement international, nous serions heureux de vous voir nous  rejoindre.  Rémunération  attractive.  Date  de début: Au plus tôt  Nous  vous prions de bien vouloir nous faire parvenir votre CV et quelques mots sur  ce qui vous motive le plus à nous rejoindre en évoquant la référence MD-CFP                         "
Développeur web (php/javascript),8 novembre 2023,"loc:                     Tunis,                            Tunisie","['D', 'é', 't', 'a', 'i', 'l', 's', 'd', 'e', 'l', 'a', 'n', 'n', 'o', 'n', 'c', 'e', 'R', 'é', 'f', 'é', 'r', 'e', 'n', 'c', 'e', '1', '8', '9', '5', '2', '0', 'P', 'u', 'b', 'l', 'i', 'é', 'e', 'l', 'e', '8', 'n', 'o', 'v', 'e', 'm', 'b', 'r', 'e', '2', '0', '2', '3', 'L', 'i', 'e', 'u', 'd', 'e', 't', 'r', 'a', 'v', 'a', 'i', 'l', 'T', 'u', 'n', 'i', 's', 'T', 'u', 'n', 'i', 's', 'i', 'e', 'E', 'x', 'p', 'é', 'r', 'i', 'e', 'n', 'c', 'e', 'E', 'n', 't', 'r', 'e', '5', 'e', 't', '1', '0', 'a', 'n', 's', 'É', 't', 'u', 'd', 'e', 'B', 'a', 'c', '5', 'D', 'i', 's', 'p', 'o', 'n', 'i', 'b', 'i', 'l', 'i', 't', 'é', 'P', 'l', 'e', 'i', 'n', 't', 'e', 'm', 'p', 's', 'L', 'a', 'n', 'g', 'u', 'e', 's', 'F', 'r', 'a', 'n', 'ç', 'a', 'i', 's']",[],P A R T N E R   R E C R U I T M E N T," Description de l'annonce: Nous recrutons pour le compte de notre client, un groupe français,Développeur web (php/javascript)MISSIONS:Assurer la maintenance applicative de l’intranet groupe (php/ajax…)Analyser les besoins des utilisateurs et concevoir les développements répondant à leur besoin.Suivre et prioriser les demandes des utilisateurs avec la Direction.Réaliser les développements informatiques des évolutions décidées.S’assurer d’un taux de disponibilité et de temps de réponses élevés de l’intranet.Concevoir et développer les API permettant les échanges avec d’autres systèmes d’information.Superviser avec les prestataires externes l’infra et le site internet.PROFIL RECHERCHE:BAC +5 ou équivalent dans l’informatiqueUne expérience de 5 ans et plus est requise dans le développement php/javascriptTechnologies:-PHP-JavaScript-MySql-XML/JSON                         "
Responsable Système d'Information,8 novembre 2023,"loc:                     Zaghouan,                            Tunisie","['D', 'é', 't', 'a', 'i', 'l', 's', 'd', 'e', 'l', 'a', 'n', 'n', 'o', 'n', 'c', 'e', 'R', 'é', 'f', 'é', 'r', 'e', 'n', 'c', 'e', '1', '9', '0', '3', '8', '4', 'P', 'u', 'b', 'l', 'i', 'é', 'e', 'l', 'e', '8', 'n', 'o', 'v', 'e', 'm', 'b', 'r', 'e', '2', '0', '2', '3', 'T', 'y', 'p', 'e', 'd', 'e', 'p', 'o', 's', 't', 'e', 'C', 'D', 'I', 'C', 'D', 'D', 'L', 'i', 'e', 'u', 'd', 'e', 't', 'r', 'a', 'v', 'a', 'i', 'l', 'Z', 'a', 'g', 'h', 'o', 'u', 'a', 'n', 'T', 'u', 'n', 'i', 's', 'i', 'e', 'E', 'x', 'p', 'é', 'r', 'i', 'e', 'n', 'c', 'e', 'E', 'n', 't', 'r', 'e', '2', 'e', 't', '5', 'a', 'n', 's', 'É', 't', 'u', 'd', 'e', 'B', 'a', 'c', '3', 'R', 'é', 'm', 'u', 'n', 'é', 'r', 'a', 't', 'i', 'o', 'n', 'p', 'r', 'o', 'p', 'o', 's', 'é', 'e', '1', 'D', 'T', 'M', 'o', 'i', 's', 'D', 'i', 's', 'p', 'o', 'n', 'i', 'b', 'i', 'l', 'i', 't', 'é', 'P', 'l', 'e', 'i', 'n', 't', 'e', 'm', 'p', 's', 'L', 'a', 'n', 'g', 'u', 'e', 's', 'A', 'r', 'a', 'b', 'e', 'F', 'r', 'a', 'n', 'ç', 'a', 'i', 's', 'A', 'n', 'g', 'l', 'a', 'i', 's']","['-Arabe,Français,Anglais-']",F O N D I N O R," Description de l'annonce: Nous recherchons à renforcernotre équipe par un Responsable du Système d'Information qui sera appelé essentiellement à : Assurer la sécurité des données informatiques Assure la maintenance matérielle et logicielle du parc des PC, et des ressources       de mises en réseau Le maintien de la sécurité des données Surveiller le bon fonctionnement des systèmes informatiques Intervenir en cas de dysfonctionnement matériel et logiciel Fournir une assistance technique rapide (par téléphone, à distance ou       sur place) Passer les commandes de matériels, contrôler les stocks, Le maintien de la documentation technique des architectures et de       leurs évolutions. Assister les utilisateurs dans l'utilisation et la compréhension des       différentes solutions. Diagnostiquer et remédier aux éventuels dysfonctionnements des       systèmes dans les délais. Administrer les bases de données Administrer le système de sauvegarde  Achat et maintenance du matériel informatique. Gestion du standard téléphonique. Gestion et suivi des serveurs. Administration du firewall, antivirus et sauvegarde. Sauvegarde et restauration des données. Formation requise :  * Technicien supérieur en  réseaux et services informatiques ou équivalent. * 3 ans minimum dans un  poste similaire, avec expérience idéalement acquise en milieu industriel  Qualités requises :  - Bonne connaissance sur  les réseaux, administration des serveurs (exchange, AD, antivirus...) - Bonne connaissance en  Firewall et protection des données et trafic réseau. - Expérience dans  l'administration des ERP (de préférence SAGE X3, COSWIN, BEQUBE) et le  développement des TDB et reporting (SQL, Excel, Crystal report...) - Bonne Maitrise de  l’administration Microsoft 365/exchange 365 (paramétrage/administration/sécurité)   Connaissances en  gestion de la sécurité technique et physique des SI   La compréhension  de l'architecture SI et de ses spécificités métiers est souhaitable - Bon sens des priorités et  d'organisation. - Disponibilité : immédiate                          "
Chef de projet,7 novembre 2023,"loc:                     Tunis,                            Tunisie","['D', 'é', 't', 'a', 'i', 'l', 's', 'd', 'e', 'l', 'a', 'n', 'n', 'o', 'n', 'c', 'e', 'R', 'é', 'f', 'é', 'r', 'e', 'n', 'c', 'e', '1', '9', '0', '3', '4', '7', 'P', 'u', 'b', 'l', 'i', 'é', 'e', 'l', 'e', '7', 'n', 'o', 'v', 'e', 'm', 'b', 'r', 'e', '2', '0', '2', '3', 'L', 'i', 'e', 'u', 'd', 'e', 't', 'r', 'a', 'v', 'a', 'i', 'l', 'T', 'u', 'n', 'i', 's', 'T', 'u', 'n', 'i', 's', 'i', 'e', 'E', 'x', 'p', 'é', 'r', 'i', 'e', 'n', 'c', 'e', 'E', 'n', 't', 'r', 'e', '2', 'e', 't', '5', 'a', 'n', 's', 'É', 't', 'u', 'd', 'e', 'B', 'a', 'c', '5', 'D', 'i', 's', 'p', 'o', 'n', 'i', 'b', 'i', 'l', 'i', 't', 'é', 'P', 'l', 'e', 'i', 'n', 't', 'e', 'm', 'p', 's', 'M', 'o', 'b', 'i', 'l', 'i', 't', 'é', 'L', 'o', 'c', 'a', 'l', 'e', 'I', 'n', 't', 'e', 'r', 'n', 'a', 't', 'i', 'o', 'n', 'a', 'l']",[],M E T A M," Description de l'annonce:  Metam est une entreprise offrant des services de développement de logiciel, des solutions d'affaires, ainsi que des services conseil pour les implémentations des ERP. Metam est une organisation dynamique résolument ouverte sur le monde avec des bureaux à Montréal au Canada et à Tunis en Tunisie. Les projets s'enchaînent et les succès se multiplient. Nous sommes fiers de pouvoir attribuer ces belles réussites à une équipe unie ainsi qu'à la confiance de nos clients et partenaires d'affaires. Dans le but de soutenir cette expansion des plus énergiques, nous sommes à la recherche d’un Coordonnateur de projets pour notre bureau de Tunis. La personne recherchée aura à travailler en étroite collaboration avec nos équipes et partenaires afin de les guider et les soutenir tout au long du projet. Rôles et Responsabilités  · Réaliser toutes les activités de projets: planification, suivi, coordination, fermeture; · Établir un plan d'exécution des projets et un échéancier de réalisation, en lien avec la planification établie; · Participer à l'établissement de l'enveloppe budgétaire des projets ainsi qu'aux analyses coûts/bénéfices; · Participer à la coordination du processus d'appel d’offres ; · Contrôler l'avancement des activités selon la planification initiale et communiquer les écarts et les mesures de mitigation s'il y a lieu; · Mettre à jour les échéanciers des projets ainsi que les principaux jalons dans le plan de production; · Élaborer les rapports de suivi des projets; · Prendre en charge et prioriser les demandes de changements en collaboration avec son gestionnaire; · Préparer la charte de projet et élaborer les documents requis par son supérieur; · Tenir à jour l'historique des projets tel que : les registres des risques, les parties prenantes, les demandes de changement et les points en suspens; · Établir des indicateurs de performance (KPI), les maintenir, les analyser et les communiquer; · Agir en tant que facilitateur dans les relations entre les professionnels, l’administration, l’équipe de gestion de projet et la direction; · Toutes autres tâches connexes. · Le travail sera en coordination avec la direction génération Formation, compétences et qualification souhaitées  · Détenir un diplôme d’études universitaires, en administration, en informatique ou toute autre combinaison de scolarité et d’expérience jugée pertinente et équivalente pourra être considérée; · Une très grande capacité d’analyse et un excellent jugement; · Très bonne connaissance en informatique; · Facilité à apprendre de nouvelles techniques et méthodologies de travail; · Souci du travail bien fait et respect des échéanciers; · Un grand sens de l’éthique et du respect de la confidentialité; · Excellente maîtrise de la langue Française à l'oral et à l'écrit; · Grandes capacités rédactionnelles et de communication; · Être capable de discerner les enjeux d’affaires et faire preuve de créativité dans la recherche de solutions; · Une grande autonomie et une bonne aptitude pour le travail d’équipe. Ce que nous offrons: · Un programme complet de formation et de perfectionnement vous permettant de bâtir votre carrière à la hauteur de vos talents;  · Horaire de travail flexible et congés rémunérés pour subvenir à vos besoins et à ceux de votre famille;  · Approche globale à l’égard de votre bien-être, programmes de santé physique et mentale et culture solidaire en milieu de travail;  · Programme de rémunération globale complet, y compris un salaire concurrentiel, des bonus de fin d'année, un régime complet d'assurance collective;  · Un environnement de travail stimulant, collaboratif et surtout beaucoup de PLAISIR!   Si vous avez le goût d’une expérience professionnelle dans une entreprise au caractère unique, parmi les plus dynamiques en Tunisie et de relever des défis à la hauteur de vos talents, faites- nous parvenir votre curriculum vitae accompagné de vos diplômes Nous vous remercions de l'intérêt porté envers Metam. Seules les candidatures sélectionnées seront contactées.                            "
